Issue,Red1,Red2,Red3,Red4,Red5,Red6,Blue balls
0.0964,0.025,0.125,0.225,0.35,0.55,0.7,0.125
0.0968,0.1,0.25,0.4,0.5,0.575,0.8,0.175
0.0972,0.125,0.375,0.475,0.5,0.625,0.725,0.075
0.0976,0.175,0.2,0.3,0.35,0.475,0.5,0.175
0.098,0.125,0.425,0.45,0.625,0.7,0.8,0.225
0.0984,0.3,0.4,0.525,0.7,0.725,0.75,0.35
0.0988,0.3,0.475,0.5,0.525,0.65,0.775,0.375
0.0992,0.175,0.3,0.35,0.55,0.6,0.8,0.4
0.0996,0.1,0.175,0.275,0.5,0.675,0.7,0.4
0.1,0.05,0.4,0.45,0.475,0.525,0.725,0.225
0.1004,0.025,0.3,0.525,0.6,0.75,0.8,0.325
0.1008,0.05,0.275,0.4,0.575,0.6,0.725,0.075
0.1012,0.275,0.4,0.525,0.65,0.675,0.75,0.375
0.1016,0.1,0.125,0.15,0.175,0.2,0.8,0.125
0.102,0.025,0.15,0.4,0.425,0.45,0.55,0.225
0.1024,0.025,0.175,0.25,0.375,0.45,0.5,0.25
0.1028,0.225,0.4,0.45,0.5,0.55,0.6,0.125
0.1032,0.05,0.075,0.125,0.175,0.2,0.675,0.375
0.1036,0.15,0.175,0.2,0.25,0.4,0.7,0.05
0.104,0.05,0.075,0.2,0.25,0.625,0.675,0.3
0.1044,0.05,0.225,0.3,0.5,0.65,0.8,0.325
0.1048,0.075,0.15,0.35,0.475,0.5,0.525,0.05
0.1052,0.025,0.05,0.35,0.425,0.75,0.8,0.025
0.1056,0.1,0.175,0.25,0.35,0.675,0.725,0.225
0.106,0.125,0.325,0.425,0.45,0.525,0.725,0.35
0.1064,0.125,0.5,0.55,0.75,0.8,0.825,0.225
0.1068,0.3,0.425,0.475,0.675,0.725,0.775,0.225
0.1072,0.125,0.15,0.25,0.375,0.75,0.775,0.325
0.1076,0.1,0.15,0.25,0.525,0.625,0.65,0.25
0.108,0.175,0.275,0.35,0.45,0.6,0.725,0.175
0.1084,0.225,0.3,0.525,0.625,0.775,0.825,0.325
0.1088,0.125,0.225,0.35,0.525,0.575,0.6,0.025
0.1092,0.05,0.175,0.275,0.3,0.5,0.575,0.175
0.1096,0.05,0.275,0.325,0.45,0.55,0.75,0.1
0.11,0.25,0.45,0.575,0.675,0.75,0.8,0.2
0.1104,0.3,0.4,0.425,0.525,0.55,0.575,0.4
0.1108,0.05,0.1,0.25,0.275,0.625,0.7,0.125
0.1112,0.075,0.3,0.4,0.5,0.525,0.65,0.4
0.1116,0.025,0.2,0.25,0.325,0.625,0.825,0.325
0.112,0.175,0.225,0.525,0.6,0.775,0.825,0.3
0.1124,0.075,0.1,0.2,0.35,0.4,0.65,0.1
0.1128,0.1,0.2,0.3,0.35,0.4,0.55,0.25
0.1132,0.15,0.25,0.475,0.5,0.6,0.825,0.275
0.1136,0.025,0.15,0.2,0.225,0.45,0.5,0.025
0.114,0.15,0.225,0.45,0.5,0.65,0.725,0.225
0.1144,0.275,0.325,0.35,0.4,0.45,0.775,0.35
0.1148,0.1,0.225,0.275,0.55,0.625,0.7,0.325
0.1152,0.2,0.425,0.55,0.6,0.8,0.825,0.4
0.1156,0.075,0.275,0.375,0.5,0.65,0.8,0.275
0.116,0.075,0.225,0.5,0.6,0.625,0.7,0.125
0.1164,0.025,0.3,0.35,0.65,0.675,0.8,0.4
0.1168,0.05,0.1,0.25,0.3,0.65,0.75,0.075
0.1172,0.025,0.175,0.275,0.35,0.475,0.5,0.3
0.1176,0.075,0.125,0.225,0.35,0.4,0.75,0.325
0.118,0.025,0.05,0.175,0.375,0.475,0.5,0.075
0.1184,0.2,0.225,0.325,0.35,0.5,0.55,0.3
0.1188,0.175,0.275,0.3,0.6,0.675,0.725,0.3
0.1192,0.2,0.225,0.375,0.4,0.575,0.65,0.2
0.1196,0.025,0.075,0.175,0.45,0.5,0.6,0.175
0.12,0.125,0.475,0.5,0.575,0.65,0.775,0.3
0.1204,0.025,0.225,0.525,0.625,0.725,0.8,0.075
0.1208,0.025,0.275,0.3,0.375,0.65,0.675,0.325
0.1212,0.2,0.325,0.475,0.65,0.7,0.775,0.25
0.1216,0.1,0.15,0.425,0.575,0.625,0.725,0.35
0.122,0.075,0.125,0.225,0.575,0.675,0.825,0.075
0.1224,0.225,0.3,0.45,0.525,0.7,0.725,0.125
0.1228,0.1,0.125,0.425,0.45,0.65,0.825,0.1
0.1232,0.125,0.25,0.575,0.675,0.7,0.75,0.375
0.1236,0.3,0.375,0.475,0.55,0.775,0.825,0.025
0.124,0.25,0.325,0.4,0.55,0.6,0.775,0.225
0.1244,0.05,0.1,0.225,0.35,0.4,0.775,0.075
0.1248,0.225,0.4,0.475,0.525,0.55,0.6,0.3
0.1252,0.05,0.125,0.15,0.35,0.6,0.775,0.3
0.1256,0.1,0.175,0.4,0.45,0.575,0.75,0.175
0.126,0.05,0.1,0.525,0.575,0.75,0.825,0.225
0.1264,0.1,0.375,0.575,0.75,0.8,0.825,0.075
0.1268,0.025,0.275,0.325,0.6,0.65,0.775,0.325
0.1272,0.225,0.25,0.5,0.6,0.625,0.65,0.275
0.1276,0.075,0.25,0.3,0.6,0.725,0.75,0.15
0.128,0.075,0.125,0.325,0.375,0.425,0.775,0.1
0.1284,0.175,0.25,0.4,0.475,0.6,0.625,0.225
0.1288,0.075,0.175,0.375,0.4,0.475,0.725,0.225
0.1292,0.1,0.3,0.55,0.7,0.725,0.75,0.4
0.1296,0.375,0.45,0.5,0.55,0.65,0.675,0.075
0.13,0.15,0.175,0.25,0.375,0.525,0.675,0.15
0.1304,0.075,0.3,0.45,0.575,0.75,0.825,0.05
0.1308,0.1,0.15,0.2,0.35,0.375,0.75,0.25
0.1312,0.15,0.425,0.55,0.675,0.7,0.8,0.075
0.1316,0.1,0.225,0.3,0.375,0.65,0.775,0.4
0.132,0.025,0.175,0.275,0.45,0.5,0.55,0.05
0.1324,0.025,0.15,0.325,0.45,0.75,0.8,0.35
0.1328,0.025,0.175,0.5,0.625,0.775,0.8,0.3
0.1332,0.025,0.1,0.175,0.35,0.75,0.8,0.225
0.1336,0.275,0.3,0.325,0.425,0.45,0.625,0.175
0.134,0.125,0.15,0.25,0.475,0.775,0.825,0.275
0.1344,0.15,0.35,0.45,0.7,0.775,0.8,0.075
0.1348,0.05,0.2,0.325,0.475,0.625,0.65,0.225
0.1352,0.1,0.15,0.275,0.35,0.575,0.625,0.3
0.1356,0.05,0.1,0.35,0.575,0.725,0.825,0.375
0.136,0.125,0.25,0.35,0.5,0.675,0.825,0.075
0.1364,0.075,0.125,0.225,0.375,0.5,0.625,0.4
0.1368,0.05,0.175,0.25,0.275,0.3,0.6,0.075
0.1372,0.05,0.1,0.25,0.45,0.675,0.725,0.375
